epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72249,1.78806,3.36196,1.80199,0.39119,0.34085,0.30997,0.15912,1.61136,3.36657,1.73272,0.00010002,0.00010002,0.00010002
2,9.41492,1.5209,2.46015,1.6835,0.54344,0.61532,0.4824,0.22959,1.49561,3.58417,1.57983,0.000213134,0.000213134,0.000213134
3,12.3526,1.37953,1.8301,1.50342,0.58276,0.69237,0.61201,0.32265,1.53383,2.72577,1.68226,0.000322398,0.000322398,0.000322398
4,15.4058,1.32927,1.58323,1.45069,0.73501,0.62524,0.72992,0.40422,1.43031,1.88285,1.54308,0.000427811,0.000427811,0.000427811
5,18.3851,1.32459,1.41062,1.45731,0.70573,0.68043,0.73183,0.37757,1.45099,1.96829,1.5046,0.000529373,0.000529373,0.000529373
6,21.6421,1.36472,1.37352,1.46975,0.60231,0.586,0.56494,0.26979,1.76818,2.01127,1.89143,0.000627084,0.000627084,0.000627084
7,24.4382,1.35252,1.31955,1.4963,0.61802,0.46213,0.51466,0.22193,1.87883,2.39597,2.20871,0.000720944,0.000720944,0.000720944
8,26.9414,1.35668,1.35239,1.47825,0.67288,0.6766,0.70457,0.3479,1.71193,1.91275,1.993,0.000810954,0.000810954,0.000810954
9,29.554,1.32223,1.29122,1.51925,0.55062,0.76979,0.5994,0.30928,1.62947,1.84776,1.78219,0.000897113,0.000897113,0.000897113
10,32.8676,1.41579,1.30424,1.53712,0.48881,0.64043,0.62934,0.36794,1.53693,1.76411,1.62223,0.000979421,0.000979421,0.000979421
11,35.777,1.33908,1.16201,1.41992,0.63703,0.60316,0.62166,0.32948,1.65487,1.76331,1.77005,0.00105788,0.00105788,0.00105788
12,38.3551,1.23974,1.06444,1.37424,0.5361,0.51417,0.55502,0.28299,1.68406,2.21115,1.83325,0.00113248,0.00113248,0.00113248
13,40.8925,1.26686,1.18492,1.41717,0.46527,0.5766,0.55141,0.28335,1.73999,1.91937,1.90063,0.00120324,0.00120324,0.00120324
14,43.4114,1.26562,1.19882,1.45607,0.40488,0.45106,0.44101,0.20531,1.90662,2.37204,2.06556,0.00127015,0.00127015,0.00127015
15,46.8082,1.28158,1.15374,1.42031,0.43478,0.51915,0.42094,0.19262,2.18018,3.0024,2.22784,0.00128192,0.00128192,0.00128192
16,49.3357,1.28182,1.04907,1.38465,0.53081,0.51277,0.4055,0.16746,2.15504,3.10341,2.18754,0.00125442,0.00125442,0.00125442
17,51.9483,1.19563,0.95911,1.36164,0.58513,0.49404,0.4743,0.21017,1.981,2.43875,2.04741,0.00122691,0.00122691,0.00122691
18,54.4559,1.19946,0.96242,1.36434,0.58787,0.73234,0.5851,0.29063,1.72315,1.60318,1.77248,0.00119941,0.00119941,0.00119941
19,57.2675,1.24295,1.00423,1.38094,0.59072,0.65277,0.68739,0.3662,1.48769,1.9103,1.60862,0.0011719,0.0011719,0.0011719
20,60.4959,1.21027,0.93196,1.34427,0.5626,0.65277,0.53879,0.31001,1.44816,2.14967,1.50841,0.0011444,0.0011444,0.0011444
21,63.0956,1.18321,0.9899,1.37655,0.58654,0.76198,0.65725,0.38271,1.45984,1.39543,1.54269,0.00111689,0.00111689,0.00111689
22,65.5834,1.17372,0.92172,1.32593,0.63767,0.70217,0.70374,0.44598,1.39587,1.1252,1.43273,0.00108938,0.00108938,0.00108938
23,68.1953,1.19032,0.90729,1.32147,0.7088,0.7114,0.72422,0.4039,1.53812,1.34782,1.51927,0.00106188,0.00106188,0.00106188
24,71.4948,1.19609,0.94888,1.35604,0.65905,0.77617,0.72171,0.45045,1.33383,1.40748,1.49357,0.00103437,0.00103437,0.00103437
25,74.5429,1.13791,0.89643,1.2953,0.75166,0.7124,0.74883,0.45825,1.38123,1.29235,1.58603,0.00100687,0.00100687,0.00100687
26,77.2678,1.10909,0.8328,1.3072,0.89129,0.83469,0.92004,0.57979,1.27888,1.05039,1.43423,0.000979362,0.000979362,0.000979362
27,79.9463,1.12524,0.8715,1.30389,0.82769,0.82809,0.91795,0.62432,1.16826,0.97346,1.31881,0.000951857,0.000951857,0.000951857
28,82.5921,1.14622,0.80685,1.29639,0.9105,0.82809,0.9165,0.61085,1.14302,1.0279,1.29581,0.000924352,0.000924352,0.000924352
29,86.0243,1.11326,0.77487,1.2846,0.92021,0.82828,0.93751,0.63526,1.15865,0.99938,1.34365,0.000896846,0.000896846,0.000896846
30,88.6904,1.09215,0.81868,1.29757,0.90332,0.94809,0.96097,0.62359,1.20444,0.78621,1.31032,0.00086934,0.00086934,0.00086934
31,91.3043,1.05263,0.77343,1.28618,0.93531,0.94936,0.98027,0.66521,1.15808,0.76441,1.27544,0.000841835,0.000841835,0.000841835
32,94.1102,1.04461,0.73475,1.2238,0.93032,0.93078,0.98426,0.65966,1.1603,0.83761,1.27085,0.000814329,0.000814329,0.000814329
